,Site Number,Site Name,Year,Average Daily Volume,Latitude,Longitude
36563,256661,MacEwan Road SW North of Ellerslie Road SW,2018,2000.0,53.4252337,-113.5348022
36564,539743,86 Street North of  51 Avenue,2020,9800.0,53.4891214,-113.4546007
36565,258749,141 Street SW South of Chappelle Drive SW,2020,2900.0,53.4029191,-113.5653791
36566,208120,Anthony Henday Drive EB to Rabbit Hill Road SW,2020,4500.0,53.4295366,-113.5820885
36567,100094,Fortway Drive NW West of Legislature Building Road NW,2021,1700.0,53.5321303,-113.5092794
36568,537587,Hardisty Drive North of 106 Avenue,2020,600.0,53.5511072,-113.4357869
36569,301438,84 Avenue West of 149 Street West Service Road,2018,700.0,53.5168987,-113.5796424
36570,541927,100 Street North of  88 Avenue,2020,1200.0,53.5239779,-113.488613
36571,405456,Delwood Road West of  67 Street,2022,1100.0,53.5954249,-113.4457334
36572,535699,57 Street North of  89 Avenue,2021,1400.0,53.5226199,-113.4232233
36573,103000,Kingsway West of 120 Street,2018,34000.0,53.5696378,-113.5291185
36574,315136,119 Avenue East of 122 Street,2021,400.0,53.5719288,-113.5320952
36575,260609,Riverbend Road North of  53 Avenue,2021,7400.0,53.4926849,-113.5782214
36576,515226,38 Avenue East of  34 Street,2020,13400.0,53.4729805,-113.3917291
36577,251441,106 Street North of  40 Avenue,2022,9500.0,53.4762777,-113.504531
36578,110895,Fort Road North of 115 Avenue,2020,4100.0,53.5659473,-113.4720385
36579,400080,119 Avenue West of Wayne Gretzky Drive NB,2022,800.0,53.5719822,-113.4529999
36580,252785,109 Street North of 77 Avenue N,2019,32500.0,53.5135459,-113.5120404
36581,213448,23 Avenue West of Hodgson Way,2022,20300.0,53.4540917,-113.5636164
36582,223420,Whitemud Drive West of 111 Street,2022,93300.0,53.4831068,-113.5228682
36583,336117,170 Street North of 110 Avenue,2021,31000.0,53.5584745,-113.6153274
36584,521624,80 Avenue West of  97 Street,2020,500.0,53.516118,-113.4813195
36585,438221,76 Street North of 166A Avenue,2019,2400.0,53.628354,-113.4597178
36586,311507,St Albert TR  W Service RD North of Dovercourt AV,2021,400.0,53.577744,-113.5550189
36587,100732,Jasper Avenue West of 111 Street,2020,21900.0,53.5409545,-113.5130206
36588,522234,83 Avenue West of  99 Street,2020,400.0,53.5190483,-113.4875248
36589,441505,100 Street North of 161 Avenue,2022,4400.0,53.6228338,-113.4963202
36590,338085,215 Street North of  98 Avenue,2019,16300.0,53.5369301,-113.6890538
36591,523988,92 Avenue West of  49 Street,2021,4500.0,53.5267472,-113.4176206
36592,308728,Stony Plain Road West of 184 Street,2022,33400.0,53.5411896,-113.6434222
36593,538299,76 Street North of  96 Avenue,2022,700.0,53.5361284,-113.4461291
36594,540519,91 Street North of  35 Avenue,2019,34200.0,53.4704647,-113.4676948
36595,533799,Mill Woods Road East North of  36 Avenue,2019,4000.0,53.468061,-113.4094188
36596,315168,119 Avenue West of 125 Street,2020,600.0,53.5719235,-113.5385973
36597,260169,Terwillegar Drive North of  40 Avenue,2018,46100.0,53.4793659,-113.5726636
36598,338197,215 Street North of 118A Avenue N,2021,1100.0,53.5750314,-113.6890268
36599,508368,Mill Woods Road South West of  66 Street,2021,5600.0,53.4462993,-113.438278
36600,302324,87 Avenue West of 159 Street,2019,22000.0,53.519501,-113.598793
36601,230824,Allendale Road West of 104 Street,2021,15200.0,53.4997413,-113.4986045
36602,412764,151 Avenue West of  26 Street,2019,5000.0,53.6132478,-113.3788508
36603,239532,Rabbit Hill Road SW North of Windemere Boulevard SW,2022,27000.0,53.4299277,-113.5840221
36604,441597,101 Street North of 130 Avenue,2022,1400.0,53.5905997,-113.4937032
36605,437069,Ozerna Road North of 163 Avenue,2020,1500.0,53.625474,-113.4481795
36606,301340,83 Avenue West of 167 Street,2021,1200.0,53.516503,-113.6104441
36607,235816,76 Avenue West of 109 Street,2020,6000.0,53.5122999,-113.5130386
36608,203908,Rutherford Road SW West of 112 Street SW,2021,5000.0,53.4210483,-113.5192799
36609,208222,Anthony Henday Drive WB Off-Ramp East of Terwillegar Drive NB,2020,7100.0,53.4418909,-113.5969363
36610,309908,104 Avenue West of 145 Street,2019,1200.0,53.546309,-113.5717823
36611,111663,96 Street North of 116 Avenue,2021,600.0,53.5681531,-113.4901419
36612,402364,129 Avenue West of  66 Street,2018,3100.0,53.5876637,-113.4438808
36613,226042,51 Avenue West of 104A Street,2020,16300.0,53.4882011,-113.4996657
36614,410636,145 Avenue West of 116 Street,2021,3200.0,53.6073628,-113.5224725
36615,305776,95 Avenue West of 167 Street,2019,15300.0,53.5316546,-113.6128003
36616,414164,153 Avenue NE West of 17 Street NE,2021,600.0,53.6140427,-113.3341276
36617,111027,82 Street North of 123 Avenue,2020,23200.0,53.579207,-113.467371
36618,332997,142 Street North of 118 Avenue,2022,11800.0,53.571522,-113.565839
36619,513692,Tamarack Green West of  12 Street,2021,900.0,53.4702559,-113.3603967
36620,438933,82 Street North of 128A Avenue,2019,28800.0,53.5884805,-113.4671282
36621,541375,97 Street North of  66 Avenue,2020,700.0,53.5033681,-113.4795209
36622,700026,Anthony Henday Dr North West of St. Albert Trail,2018,52100.0,53.616369,-113.601964
36623,330413,127 Street North of 109 Avenue,2018,1600.0,53.5547937,-113.5411784
36624,332149,137 Street North of 133 Avenue,2018,600.0,53.5944375,-113.5565208
36625,541747,99 Street North of  65 Avenue,2021,27100.0,53.502216,-113.48624
36626,226942,53 Avenue West of 107 Street,2021,500.0,53.490336,-113.5097831
36627,315052,118 Avenue West of 170 Street,2021,11000.0,53.570441,-113.618362
36628,255983,118 Street North of  32A Avenue,2018,300.0,53.4654539,-113.537716
36629,331461,133 Street North of 137 Avenue,2019,6400.0,53.6010074,-113.5506212
36630,541251,Parsons Road North of  99 Street,2022,14700.0,53.4433533,-113.4811846
36631,541427,97 Street North of  79 Avenue,2020,700.0,53.5155352,-113.4797547
36632,336513,178 Street North of  89 Avenue,2021,26800.0,53.5242613,-113.6299954
36633,407564,137 Avenue West of Griesbach Parade,2022,27700.0,53.5994597,-113.4991081
36634,106174,124 Avenue West of Mount Lawn Road,2021,700.0,53.5788973,-113.4531798
36635,212272,21 Avenue West of 104 Street,2020,900.0,53.4525869,-113.4987214
36636,262735,Rabbit Hill Road West of Promontory Point,2021,1400.0,53.4776104,-113.6021524
36637,253097,110 Street North of  80 Avenue,2020,500.0,53.5166421,-113.5149901
36638,315020,118 Avenue West of 160 Street,2020,12500.0,53.5704389,-113.600048
36639,309452,103 Avenue West of 140 Street,2022,1200.0,53.5445937,-113.5645517
36640,228466,57 Avenue West of Lessard Drive West,2022,2200.0,53.4928935,-113.6227019
36641,110895,Fort Road North of 115 Avenue,2021,4400.0,53.5659473,-113.4720385
36642,427216,211 Avenue NE West of  17 Street NE,2018,100.0,53.6722284,-113.3214291
36643,112065,104 Street North of 113 Avenue,2020,300.0,53.5634903,-113.499234
36644,430333,17 Street NE North of Manning Drive NE,2021,6300.0,53.6863869,-113.3187941
36645,444721,127 Street North of 127 Avenue,2018,27600.0,53.5856244,-113.5412413
36646,533235,Mill Woods Road E North of 17 Avenue,2021,3600.0,53.4478846,-113.4041667
36647,252623,109 Street North of  36 Avenue,2019,300.0,53.4706306,-113.5103676
36648,250091,Gateway Boulevard North of  48 Avenue,2022,30600.0,53.4866814,-113.4919945
36649,111725,97 Street North of 113 Avenue,2019,25800.0,53.5634102,-113.4918056
36650,268091,204 Street North of 46 Avenue,2019,2900.0,53.4844446,-113.6748266
36651,253265,James Mowatt Trail SW North of  17 Avenue SW,2022,15900.0,53.41528,-113.52071
36652,237976,82 Avenue West of 110 Street,2021,18900.0,53.5181019,-113.516438
36653,515348,38 Avenue West of  66 Street,2021,9300.0,53.4743134,-113.4405713
36654,420272,167 Avenue West of McConachie Way,2019,16600.0,53.6286527,-113.436893
36655,330689,St Albert Trail North of 113 Avenue,2022,2000.0,53.5625395,-113.5445688
36656,437681,Wayne Gretzky Drive North of Mount Lawn Road,2021,33400.0,53.5785022,-113.4545018
36657,400576,121 Avenue NE West of  21 Street NE,2018,4000.0,53.5741717,-113.318893
36658,100736,Jasper Avenue West of 112 Street,2021,22700.0,53.5409384,-113.5148552
36659,533951,45 Street North of 105A Avenue,2020,1200.0,53.5499211,-113.4112714
36660,104941,Abbottsfield Road East of  34 Street,2020,1900.0,53.5751008,-113.3920259
36661,406488,135 Avenue West of 125 Street,2018,2500.0,53.596427,-113.538603
36662,333829,149 Street North of  92 Avenue,2022,26000.0,53.5275491,-113.5779247
36663,333009,142 Street North of 123 Avenue,2020,9600.0,53.5776799,-113.5658468
36664,539611,85 Street North of  84 Avenue,2021,7400.0,53.5218821,-113.4592592
36665,111853,101 Street North of  94 Avenue,2019,300.0,53.5301471,-113.4937212
36666,309132,102 Avenue West of 156 Street,2019,1900.0,53.5433219,-113.5912706
36667,104178,118 Avenue West of  37 Street,2019,15100.0,53.5703854,-113.3991035
36668,260609,Riverbend Road North of  53 Avenue,2020,6900.0,53.4926849,-113.5782214
36669,111893,101 Street North of 108 Avenue,2019,21000.0,53.5537946,-113.4937302
36670,260747,Leger Road North of  23 Avenue,2019,8300.0,53.4565711,-113.5824752
36671,256751,122 Street North of  63 Avenue,2018,11700.0,53.501043,-113.541151
36672,531307,23 Street North of Wiseman Lane,2021,4400.0,53.4764758,-113.3780594
36673,318916,155 Avenue West of 137A Street,2021,2100.0,53.6162033,-113.5586792
36674,400144,Yellowhead Trail NE West of  17 Street NE,2021,41000.0,53.570248,-113.338202
36675,412096,149A Avenue West of  81 Street,2021,4300.0,53.6105535,-113.4669843
36676,100502,100 Avenue West of Victoria Park Rd,2021,2200.0,53.5390786,-113.5229491
36677,110717,66 Street North of 120 Avenue,2022,7800.0,53.5740542,-113.4430624
36678,333057,142 Street North of 134 Avenue,2018,6700.0,53.5984617,-113.5658018
36679,510280,23 Avenue West of Mill Woods Road,2020,22200.0,53.4523352,-113.4563993
36680,104430,118 Avenue West of  94 Street,2019,16200.0,53.5704122,-113.4865536
36681,221200,40 Avenue West of Terwilleger Drive NB,2022,9400.0,53.4766791,-113.574813
36682,600019,James MacDonald Bridge,2019,49100.0,53.535781,-113.4880734
36683,338129,215 Street North of Secord Boulevard,2018,17600.0,53.5347227,-113.6890268
36684,309132,102 Avenue West of 156 Street,2021,1900.0,53.5433219,-113.5912706
36685,318006,137 Avenue West of 164 Street,2018,14300.0,53.599385,-113.6099315
36686,261311,154 Street North of  76A Avenue,2019,600.0,53.5103211,-113.5858747
36687,113023,121 Street North of 103 Avenue,2019,2400.0,53.5453205,-113.5308452
36688,250619,104 Street North of  78 Avenue,2019,16600.0,53.5147063,-113.4976782
36689,235888,76 Avenue West of 116 Street,2019,2300.0,53.5122838,-113.5330575
36690,101080,103 Avenue West of 104 Street,2020,3300.0,53.5445937,-113.5001693
36691,522912,86 Avenue West of  91 Street,2020,500.0,53.5219302,-113.4715709
36692,250535,104 Street North of  63 Avenue,2021,21900.0,53.5003833,-113.4976692
36693,111731,97 Street North of 116 Avenue,2019,27800.0,53.5679181,-113.4918236
36694,223223,Whitemud Drive CD EB Ramp West of Calgary Trail,2020,18000.0,53.4797245,-113.4968598
36695,512388,Youville Drive East East of  55 Street,2018,900.0,53.4638424,-113.4261821
36696,224494,46 Avenue West of 211 Street,2022,1600.0,53.4843109,-113.6840986
36697,252167,108 Street North of  29 Avenue,2022,800.0,53.4615187,-113.5088208
36698,526132,101 Avenue West of  74 Street,2022,15000.0,53.5412591,-113.442199
36699,538679,79 Street North of  83 Avenue,2020,3100.0,53.5195509,-113.4490159
36700,103450,114 Avenue West of 103 Street,2021,600.0,53.5642167,-113.4982807
36701,113119,124 Street North of 104 Avenue,2020,10600.0,53.5465869,-113.5359353
36702,305744,95 Avenue West of 157 Street,2020,9000.0,53.5315744,-113.5930692
36703,111735,97 Street North of 118 Avenue,2019,49400.0,53.5708928,-113.4921923
36704,332877,142 Street North of  87 Avenue,2021,17100.0,53.520598,-113.565703
36705,417820,162 Avenue West of  95 Street,2019,4400.0,53.6237139,-113.4904746
36706,333005,142 Street North of 121A Avenue,2019,12000.0,53.5748819,-113.5658558
36707,336541,178 Street North of 100 Avenue,2022,26600.0,53.5388274,-113.6273604
36708,331865,Buena Vista Road North of  82 Avenue,2019,4700.0,53.5163159,-113.556206
36709,539311,83 Street North of  96 Avenue,2022,500.0,53.5354068,-113.4540971
36710,316096,124 Avenue West of 126 Street,2021,600.0,53.5792657,-113.5400902
36711,409944,144 Avenue West of 58 Avenue,2022,5100.0,53.6054792,-113.4335026
36712,539497,85 Street South of  23 Avenue,2021,6000.0,53.451398,-113.4599606
36713,305824,95 Avenue West of 178 Street,2022,8400.0,53.528436,-113.632401
36714,102640,111 Avenue West of 120 Street,2020,23300.0,53.558915,-113.530854
36715,223294,Whitemud Drive CD Eastbound West of 105 Street,2021,5400.0,53.4806504,-113.5033169
36716,111165,Stadium Road North of Stadium Transit Center,2019,13100.0,53.5607661,-113.4733335
36717,404512,132 Avenue West of 113 Street,2019,7900.0,53.5921477,-113.5157456
36718,110707,66 Street North of 113 Avenue,2021,1100.0,53.5665722,-113.4406972
36719,113109,123 Street North of 117 Avenue,2020,1000.0,53.5692265,-113.5341547
36720,236902,University Avenue West of 109 Street,2022,900.0,53.5143106,-113.5136052
36721,536315,Woodvale Road West North of  37A Avenue,2019,1700.0,53.4735426,-113.4335835
36722,334873,156 Street North of 135 Avenue,2018,19600.0,53.597325,-113.5902454
36723,521952,Sherwood Park Freeway WB On-Ramp West of  50 Street,2022,4900.0,53.5146154,-113.4201477
36724,104540,Princess Elizabeth Avenue West of 103 Street West,2019,16300.0,53.5672932,-113.5012395
36725,316196,124 Avenue West of 142 Street,2019,1900.0,53.5790682,-113.5675914
36726,331685,135 Street North of 108 Avenue,2019,1600.0,53.5533245,-113.5555046
36727,110711,66 Street North of 115 Avenue,2021,1300.0,53.569141,-113.442444
36728,523752,Saskatchewan Drive West of 101 Street,2020,12200.0,53.5244377,-113.492561
36729,515828,39 Avenue West of  98 Street,2019,4200.0,53.4740939,-113.4840894
36730,112199,107 Street North of 102 Avenue,2020,2600.0,53.543523,-113.504758
36731,267487,Hammond Crescent South of Hammond Gate,2019,800.0,53.4814424,-113.6665168
36732,525748,98 Avenue West of 82 Street,2022,22000.0,53.5375394,-113.4539891
36733,101554,106 Avenue West of  96 Street,2022,4500.0,53.550434,-113.487282
36734,334849,156 Street North of 121A Avenue,2021,23900.0,53.5748926,-113.5903982
36735,530731,17 Street North of  23 Avenue,2020,15800.0,53.4571012,-113.3690662
36736,235840,76 Avenue West of 111 Street,2021,6000.0,53.5122678,-113.5183266
36737,518128,51 Avenue West of  99 Street,2022,18200.0,53.48815,-113.489541
36738,540731,92 Street North of  94 Avenue,2021,1300.0,53.5312536,-113.4683513
36739,257201,127 Street SW North of  41 Avenue SW,2018,2500.0,53.39632,-113.540868
36740,425252,180 Avenue West of  85 Street,2020,1800.0,53.6420154,-113.4721105
36741,409856,144 Avenue West of  32 Street,2018,5800.0,53.6069253,-113.3939774
36742,101274,104 Avenue West of 104 Street,2019,26000.0,53.5461968,-113.5002413
36743,311280,107 Avenue West of Mayfield Road,2021,16300.0,53.5525391,-113.6102912
36744,436629,66 Street North of 132 Avenue,2020,20400.0,53.5926654,-113.4430174
36745,530819,17 Street North of Petroleum Way,2021,4800.0,53.5649699,-113.3662603
36746,110139,38 Street North of 109 Avenue,2021,1300.0,53.5628387,-113.3999759
36747,422020,McConachie Drive West of  50 Street,2018,2200.0,53.631264,-113.4193
36748,252075,Blackmud Creek Drive SW North of Blackmud Creek Crescent SW,2021,1200.0,53.4213591,-113.5084071
36749,317988,137 Avenue West of 156 Street,2020,13200.0,53.5994224,-113.5928444
36750,103296,114 Avenue West of  42 Street,2021,3400.0,53.5667965,-113.4076111
36751,513056,34 Avenue West of  97 Street,2021,22900.0,53.4676167,-113.4826505
36752,112475,112 Street North of Jasper Avenue,2020,3400.0,53.5420073,-113.5139559
36753,422908,173 Avenue West of Klarvatten Lake Wynd,2020,1200.0,53.6351373,-113.4704647
36754,541243,Parsons Road SW North of Ellwood Drive SW,2019,16700.0,53.4354195,-113.4826955
36755,540507,91 Street North of  28 Avenue,2020,31200.0,53.462011,-113.466586
36756,526196,101 Avenue West of  81 Street,2022,4400.0,53.5412484,-113.4529279
36757,401844,128 Avenue West of  78 Street,2022,600.0,53.5860409,-113.4619751
36758,316652,128 Avenue West of St.Albert Trail,2021,5500.0,53.5850586,-113.5622225
36759,541339,97 Street North of 51 Avenue,2022,9000.0,53.488886,-113.479377
36760,333961,149 Street North of Yellowhead Trail,2020,5100.0,53.5824692,-113.5780326
36761,434345,50 Street North of 137 Avenue,2019,23800.0,53.5988513,-113.4136276
36762,414308,153 Avenue West of Miller Boulevard,2019,12500.0,53.6158032,-113.4141132
36763,432781,Fort Road North of 167 Avenue,2018,1100.0,53.629497,-113.377407
36764,539279,83 Street North of  82 Avenue,2020,18400.0,53.519265,-113.455143
36765,102944,Kingsway West of 101 Street,2019,14000.0,53.5550715,-113.4948273
36766,400244,Yellowhead Trail West of Victoria Trail,2020,43600.0,53.5808408,-113.4049941
36767,520860,76 Avenue West of Girard Road,2022,2000.0,53.5122838,-113.4351394
36768,253331,111 Street North of  23 Avenue,2020,16700.0,53.455605,-113.516382
36769,316808,128A Avenue West of 168 Street,2021,1300.0,53.5857526,-113.6138615
36770,308956,102 Avenue West of 130 Street,2020,14800.0,53.5430494,-113.5463315
36771,251663,106 Street North of  82 Avenue,2019,2300.0,53.5186312,-113.5034788
36772,103628,115 Avenue West of  85 Street,2020,7800.0,53.5657977,-113.4720475
36773,541431,97 Street North of 80 Avenue,2019,700.0,53.516487,-113.4797187
36774,334773,156 Street North of 100 Avenue,2018,15900.0,53.5396131,-113.5903713
36775,409840,144 Avenue West of Victoria Trail,2018,5200.0,53.6085153,-113.385227
36776,407460,137 Avenue West of  68 Street,2021,23100.0,53.5997106,-113.447595
36777,316020,123 Avenue West of 154 Street,2022,5600.0,53.5773649,-113.5885906
36778,208234,Anthony Henday Drive WB On-RampWest of Terwillegar Drive SB,2022,10900.0,53.4466849,-113.6002368
36779,100880,102 Avenue West of  99 Street,2020,3400.0,53.543407,-113.489876
36780,221200,40 Avenue West of Terwilleger Drive NB,2020,8400.0,53.4766791,-113.574813
36781,513532,Woodvale Road West West of  60 Street,2020,900.0,53.4675418,-113.4313982
36782,252425,108 Street North of  84 Avenue,2020,900.0,53.5205347,-113.5093064
36783,443325,Castle Downs Road North of 145 Avenue,2022,16800.0,53.6091236,-113.5167438
36784,308864,Stony Plain Road West of 143 Street,2022,28200.0,53.5427768,-113.5682839
36785,233416,69 Avenue West of 199 Street,2021,2800.0,53.5023304,-113.6672633
36786,263065,Currents Drive West SW North of Windermere Boulevard SW,2021,13500.0,53.4358213,-113.6076742
36787,503124,Watt Boulevard SW West of  61 Street SW,2020,2100.0,53.42047,-113.43486
36788,335545,163 Street North of Stony Plain Road,2020,6000.0,53.541874,-113.602613
36789,300424,80 Avenue West of 163 Street,2022,800.0,53.5137117,-113.6034204
36790,253511,111 Street North of  81 Avenue,2020,1200.0,53.517771,-113.517813
36791,338143,215 Street South of 103 Avenue,2020,9300.0,53.543386,-113.6884153
36792,336125,170 Street North of 117 Avenue,2018,29300.0,53.5690183,-113.6153544
36793,525192,95 Avenue West of  87 Street,2022,3900.0,53.5317561,-113.4623618
36794,250073,Gateway Boulevard North of Whitemud Drive CD EB,2020,35200.0,53.480067,-113.4920754
36795,336149,170 Street North of 137 Avenue,2021,8500.0,53.6014663,-113.6150307
36796,313380,111 Avenue West of Groat Road,2019,23500.0,53.5589339,-113.5537419
36797,540471,91 Street SW North of Savaryn Drive SW,2019,22100.0,53.4186954,-113.4785856
36798,432617,Victoria Trail North of Hermitage Road,2019,17900.0,53.582359,-113.383091
36799,434349,50 Street North of Manning Drive EB,2021,24300.0,53.6023468,-113.4169641
36800,330421,127 Street North of 110 Avenue,2019,2300.0,53.5586454,-113.5411874
36801,261923,Riverbend Road North of Rabbit Hill Road,2022,10700.0,53.4732856,-113.5925746
36802,541127,96 Street North of  68 Avenue,2019,5300.0,53.5053418,-113.4763822
36803,334353,153 Street North of  89 Avenue,2020,700.0,53.5222456,-113.5850833
36804,111745,97 Street North of 123 Avenue,2020,39100.0,53.5788333,-113.4923092
36805,111731,97 Street North of 116 Avenue,2021,25400.0,53.5679181,-113.4918236
36806,262735,Rabbit Hill Road West of Promontory Point,2019,1500.0,53.4776104,-113.6021524
36807,266105,188 Street North of  73 Avenue,2022,1300.0,53.5080695,-113.6486833
36808,518244,55 Avenue West of  50 Street,2019,2800.0,53.4918449,-113.419725
36809,338148,215 Street North of Lakeview Drive,2022,9900.0,53.5511446,-113.6890358
36810,110941,Fort Road North of 121 Avenue,2022,10600.0,53.5762008,-113.4593941
36811,313396,111 Avenue West of 142 Street,2021,26900.0,53.558873,-113.568439
36812,338093,213 Street North of Suder Greens Drive,2018,1200.0,53.5208502,-113.6853486
36813,100468,100 Avenue West of 109 Street,2022,8800.0,53.5388328,-113.5094053
36814,227710,55 Avenue West  of 105A Street,2022,700.0,53.4922943,-113.5024896
36815,330661,129 Street North of 108 Avenue,2021,700.0,53.5532176,-113.5445598
36816,263549,Terwillegar Drive North of Windemere Boulevard,2020,37300.0,53.4398018,-113.6089602
36817,541719,99 Street North of  48 Avenue,2022,21600.0,53.4869276,-113.4860949
36818,539499,85 Street North of  23 Avenue,2021,2900.0,53.4524691,-113.4599696
36819,252551,109 Street North of  19 Avenue,2019,2900.0,53.4467974,-113.5084431
36820,403902,Clareview Road West of  28 Street,2020,2100.0,53.5893986,-113.3849932
36821,407396,137 Avenue West of  50 Street,2022,27000.0,53.5978426,-113.4178994
36822,417864,Beaumaris Road West of 109 Street,2022,3100.0,53.6220498,-113.5135692
36823,103668,115 Avenue West of  94 Street,2021,4300.0,53.5657977,-113.4864187
36824,537503,71 Street North of  72 Avenue,2021,1900.0,53.5086899,-113.4363085
36825,101290,104 Avenue West of 108 Street,2020,21900.0,53.5462396,-113.5075347
36826,308776,Stony Plain Road West of 215 Street,2021,34400.0,53.5413125,-113.6964552
36827,444193,121 Street North of 157 Avenue,2018,4800.0,53.619148,-113.5317085
36828,100580,MacDonald Drive West of 100 Street,2020,2600.0,53.539425,-113.49132
36829,318596,Mark Messier Trail West of 156 Street,2021,30400.0,53.6139093,-113.5950747
36830,333073,142 Street North of 153 Avenue,2020,8800.0,53.6166514,-113.5658288
36831,432653,Victoria Trail North of 151 Avenue,2021,10700.0,53.6146882,-113.3789497
36832,250301,Calgary Trail North of Whitemud Drive CD EB,2018,33300.0,53.4799225,-113.4956097
36833,400738,125A Avenue West of  89 Street,2018,1800.0,53.5816577,-113.488676
36834,402268,129 Avenue West of  50 Street,2019,6300.0,53.5875997,-113.4194552
36835,254927,114 Street North of  83 Avenue,2020,12500.0,53.5202941,-113.5255032
36836,436605,66 Street North of Fort Road,2020,17300.0,53.5856725,-113.4429545
36837,336173,171 Street North of 100 Avenue,2022,22700.0,53.5403185,-113.6169732
36838,421216,168 Avenue West of  91 Street,2019,6100.0,53.6302099,-113.4826235
36839,532491,34 Street North of  51 Avenue,2021,16400.0,53.4908336,-113.3938425
36840,541455,97 Street North of  85 Avenue,2022,800.0,53.521326,-113.4796648
36841,112021,103 Avenue North of 115 Avenue,2019,300.0,53.5664493,-113.4983077
36842,314180,115 Avenue West of 124 Street,2020,1000.0,53.5652529,-113.5367447
36843,261593,Allan Drive SW South of Windemere Boulevard SW,2018,2400.0,53.4302599,-113.5900385
36844,251123,105 Street North of  76 Avenue,2019,2800.0,53.5127651,-113.5004391
36845,535799,58 Street North of  34 Avenue,2021,4400.0,53.4664336,-113.4278459
36846,111417,Alex Taylor Road North of Rowland Road,2019,3600.0,53.546635,-113.4756178
36847,441241,97 Street North of 128 Avenue,2022,43900.0,53.5877385,-113.4921294
36848,433607,37 Street North of 153 Avenue,2020,4600.0,53.6145709,-113.3996162
36849,532111,32 Street North of  24 Avenue,2019,1600.0,53.4550289,-113.3864321
36850,112955,Airport Road W North of Kingsway,2022,3400.0,53.5687993,-113.5260608
36851,334861,156 Street North of 128 Avenue,2022,23000.0,53.5856351,-113.5902993
36852,400256,Yellowhead Trail EB On-Ramp East of  50 Street,2018,5100.0,53.581962,-113.4159209
36853,208882,Rabbit Hill Road NW West of Singer Gate,2022,16600.0,53.4367375,-113.5700826
36854,110007,Abbottsfield Road North of 118 Avenue,2019,3000.0,53.5722866,-113.3882937
36855,111617,96 Street North of Jasper Avenue,2018,200.0,53.5437334,-113.482066
36856,319524,167 Avenue West of 142 Street,2018,14200.0,53.628741,-113.56946
36857,315916,Sherbrooke Avenue West of 132 Street,2019,2100.0,53.5773756,-113.5531393
36858,435689,59A Street North of 153 Avenue,2022,7000.0,53.6165981,-113.4328551
36859,237718,81 Avenue West of Gateway Boulevard,2020,1600.0,53.5170752,-113.4960594
36860,101088,103 Avenue west of 106 Street,2021,3900.0,53.5445991,-113.5038385
36861,515192,38 Avenue West of  17 Street,2022,10800.0,53.4771662,-113.3727894
36862,250301,Calgary Trail North of Whitemud Drive CD EB,2022,32600.0,53.4799225,-113.4956097
36863,523752,Saskatchewan Drive West of 101 Street,2022,13700.0,53.5244377,-113.492561
36864,232948,Fox Drive West of Fort Edmonton Park Road,2019,30500.0,53.5033306,-113.5632117
36865,407372,137 Avenue West of  38 Street,2021,18900.0,53.598403,-113.401208
36866,251585,106 Street North of  70 Avenue,2021,4100.0,53.5070801,-113.5044231
36867,402888,Hermitage Road West of Harrison Drive,2022,10600.0,53.5891851,-113.4115591
36868,113147,124 Street North of 117 Avenue,2022,10900.0,53.5694722,-113.5360253
36869,304464,92A Avenue West of Park Drive,2019,400.0,53.5277362,-113.5704333
36870,102640,111 Avenue West of 120 Street,2021,25000.0,53.558915,-113.530854
36871,404192,132 Avenue West of Fort Road,2022,4100.0,53.5922491,-113.4317129
36872,534823,50 Street North of  44 Avenue,2021,28700.0,53.4830105,-113.4181871
36873,102030,109 Avenue West of  73 Street,2021,500.0,53.5600717,-113.4487101
36874,525922,Terrace Road East of  57 Street,2022,17900.0,53.5409972,-113.4221981
36875,100044,River Valley Road NW West of 105 Street NW,2019,20600.0,53.5304786,-113.5023996
36876,438965,82 Street North of 137 Avenue,2022,26000.0,53.600906,-113.467461
36877,401004,Hooke Road West of Victoria Trail,2022,3400.0,53.5840122,-113.3855058
36878,435145,Manning Drive North of Clareview Station Drive S,2022,30200.0,53.6038837,-113.4153633
36879,235864,76 Avenue West of 113 Street,2022,5200.0,53.5122517,-113.5240193
36880,338065,213 Street North of  92 Avenue,2019,500.0,53.5268702,-113.6856004
36881,101414,105 Avenue West of 106 Street,2020,3100.0,53.5477571,-113.5034878
36882,252665,109 Street North of  54 Avenue,2021,1900.0,53.4924923,-113.5118875
36883,409864,144 Avenue West of  36 Street,2021,7300.0,53.6068666,-113.4019454
36884,230554,62 Avenue West of 199 Street,2022,16400.0,53.4939154,-113.6679467
36885,252539,11 Avenue West of 109 Street,2022,1900.0,53.4435568,-113.5073819
36886,333789,Mark Messier Trail North of 137 Avenue,2022,29900.0,53.601633,-113.576987
36887,337393,Ray Gibbon Drive North of Anthony Henday Drive WB,2019,14800.0,53.5985845,-113.6508057
36888,525640,98 Avenue West of  49 Street,2021,2200.0,53.537502,-113.4164874
36889,517848,Whitemud Drive West of  75 Street,2018,75800.0,53.4851724,-113.4494476
36890,330713,129 Street North of 117 Avenue,2020,500.0,53.5697446,-113.5445688
36891,201892,30 Avenue SW West of Cole Crescent SW,2020,3500.0,53.40422,-113.535934
36892,226564,52 Avenue West of 109 Street,2022,1900.0,53.4895441,-113.5129577
36893,330129,125 Street North of 109 Avenue,2021,700.0,53.5532283,-113.537698
